Class; Value; Class start; Class end;
66;1;-4134.134912674952;-4131.596851535816;
67;0;-4131.596851535816;-4129.058790396681;
68;0;-4129.058790396681;-4126.520729257545;
69;0;-4126.520729257546;-4123.982668118410;
70;0;-4123.982668118410;-4121.444606979275;
71;0;-4121.444606979275;-4118.906545840139;
72;0;-4118.906545840139;-4116.368484701004;
73;0;-4116.368484701004;-4113.830423561869;
74;0;-4113.830423561869;-4111.292362422733;
75;0;-4111.292362422733;-4108.754301283598;
76;0;-4108.754301283599;-4106.216240144463;
77;0;-4106.216240144463;-4103.678179005327;
78;0;-4103.678179005327;-4101.140117866192;
79;0;-4101.140117866192;-4098.602056727056;
80;0;-4098.602056727057;-4096.063995587921;
81;0;-4096.063995587921;-4093.525934448786;
82;0;-4093.525934448786;-4090.987873309651;
83;0;-4090.987873309651;-4088.449812170516;
84;0;-4088.449812170516;-4085.911751031380;
85;1;-4085.911751031380;-4083.373689892245;
86;0;-4083.373689892245;-4080.835628753110;
87;0;-4080.835628753109;-4078.297567613974;
88;0;-4078.297567613974;-4075.759506474839;
89;0;-4075.759506474838;-4073.221445335703;
90;1;-4073.221445335703;-4070.683384196568;
91;0;-4070.683384196568;-4068.145323057433;
92;0;-4068.145323057433;-4065.607261918297;
93;0;-4065.607261918297;-4063.069200779162;
94;0;-4063.069200779162;-4060.531139640027;
95;0;-4060.531139640027;-4057.993078500891;
96;0;-4057.993078500891;-4055.455017361756;
97;0;-4055.455017361756;-4052.916956222621;
98;0;-4052.916956222620;-4050.378895083485;
99;1;-4050.378895083485;-4047.840833944350;
100;0;-4047.840833944349;-4045.302772805214;
101;0;-4045.302772805214;-4042.764711666079;
102;0;-4042.764711666079;-4040.226650526944;
103;0;-4040.226650526944;-4037.688589387808;
104;0;-4037.688589387808;-4035.150528248673;
105;0;-4035.150528248673;-4032.612467109538;
106;1;-4032.612467109538;-4030.074405970402;
107;0;-4030.074405970402;-4027.536344831267;
108;0;-4027.536344831267;-4024.998283692132;
109;0;-4024.998283692131;-4022.460222552996;
110;0;-4022.460222552996;-4019.922161413861;
111;1;-4019.922161413861;-4017.384100274725;
112;1;-4017.384100274725;-4014.846039135590;
113;0;-4014.846039135590;-4012.307977996455;
114;0;-4012.307977996455;-4009.769916857319;
115;0;-4009.769916857319;-4007.231855718184;
116;0;-4007.231855718184;-4004.693794579049;
117;0;-4004.693794579049;-4002.155733439914;
118;0;-4002.155733439913;-3999.617672300778;
119;0;-3999.617672300778;-3997.079611161643;
120;0;-3997.079611161642;-3994.541550022507;
121;1;-3994.541550022507;-3992.003488883372;
122;0;-3992.003488883372;-3989.465427744236;
123;0;-3989.465427744236;-3986.927366605101;
124;0;-3986.927366605101;-3984.389305465966;
125;0;-3984.389305465966;-3981.851244326831;
126;0;-3981.851244326830;-3979.313183187695;
127;0;-3979.313183187695;-3976.775122048560;
128;1;-3976.775122048560;-3974.237060909425;
129;0;-3974.237060909424;-3971.698999770289;
130;0;-3971.698999770289;-3969.160938631154;
131;0;-3969.160938631153;-3966.622877492018;
132;1;-3966.622877492018;-3964.084816352883;
133;0;-3964.084816352883;-3961.546755213747;
134;1;-3961.546755213747;-3959.008694074612;
135;0;-3959.008694074612;-3956.470632935477;
136;0;-3956.470632935477;-3953.932571796342;
137;0;-3953.932571796341;-3951.394510657206;
138;0;-3951.394510657206;-3948.856449518071;
139;0;-3948.856449518071;-3946.318388378936;
140;0;-3946.318388378935;-3943.780327239800;
141;1;-3943.780327239800;-3941.242266100665;
142;0;-3941.242266100664;-3938.704204961529;
143;0;-3938.704204961529;-3936.166143822394;
144;0;-3936.166143822394;-3933.628082683259;
145;0;-3933.628082683259;-3931.090021544123;
146;0;-3931.090021544123;-3928.551960404988;
147;0;-3928.551960404988;-3926.013899265853;
148;1;-3926.013899265852;-3923.475838126717;
149;0;-3923.475838126717;-3920.937776987582;
150;0;-3920.937776987582;-3918.399715848447;
151;0;-3918.399715848446;-3915.861654709311;
152;0;-3915.861654709311;-3913.323593570176;
153;0;-3913.323593570175;-3910.785532431040;
154;1;-3910.785532431040;-3908.247471291905;
155;0;-3908.247471291905;-3905.709410152770;
156;0;-3905.709410152770;-3903.171349013634;
157;0;-3903.171349013634;-3900.633287874499;
158;0;-3900.633287874499;-3898.095226735364;
159;0;-3898.095226735363;-3895.557165596228;
160;0;-3895.557165596228;-3893.019104457093;
161;0;-3893.019104457093;-3890.481043317958;
162;0;-3890.481043317957;-3887.942982178822;
163;0;-3887.942982178822;-3885.404921039687;
164;0;-3885.404921039687;-3882.866859900551;
165;0;-3882.866859900551;-3880.328798761416;
166;0;-3880.328798761416;-3877.790737622281;
167;0;-3877.790737622281;-3875.252676483145;
168;0;-3875.252676483145;-3872.714615344010;
169;0;-3872.714615344010;-3870.176554204875;
170;0;-3870.176554204875;-3867.638493065740;
171;0;-3867.638493065739;-3865.100431926604;
172;0;-3865.100431926604;-3862.562370787469;
173;0;-3862.562370787468;-3860.024309648333;
174;0;-3860.024309648333;-3857.486248509198;
175;0;-3857.486248509198;-3854.948187370062;
176;0;-3854.948187370062;-3852.410126230927;
177;0;-3852.410126230927;-3849.872065091792;
178;0;-3849.872065091792;-3847.334003952657;
179;0;-3847.334003952657;-3844.795942813521;
180;0;-3844.795942813521;-3842.257881674386;
181;0;-3842.257881674386;-3839.719820535251;
182;0;-3839.719820535250;-3837.181759396115;
183;0;-3837.181759396115;-3834.643698256980;
184;0;-3834.643698256979;-3832.105637117844;
185;0;-3832.105637117844;-3829.567575978709;
