0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468
-0.200770,-0.152343,0.026042,0.960245,1.498870,2.495540,3.553390,4.460620,5.550030,6.675700,7.792980,8.530730,8.958410,9.284710,9.806280,10.398199,10.969100,11.392400,11.710799,12.018101,12.387900,12.729100,13.114599,13.559800,14.043700,14.363299,14.643101,14.898299,15.214900,15.381500,14.707400,12.794499,10.756801,8.512770,6.240590,3.846490,1.409670,-0.994131,-3.453640,-5.909840,-8.162450,-10.335000,-12.197200,-13.016701,-13.695000,-13.955899,-13.267300,-12.151899,-10.913000,-10.107200,-10.069600,-10.106800,-10.183700,-10.305201,-10.456700,-10.621400,-10.777400,-10.946500,-10.995100,-10.537800,-10.039600,-9.642119,-9.120050,-8.636120,-7.996130,-6.388160,-5.636820,-5.065290,-5.443400,-5.294620,-4.952660,-4.866700,-4.905100,-5.001100,-5.119620,-5.278300,-5.494800,-5.809980,-6.136850,-6.527070,-7.003500,-7.458530,-7.976670,-7.863310,-7.878220,-8.019400,-8.260870,-8.364161,-7.912050,-7.335350,-5.911160,-3.744090,-1.235500,1.178940,3.641640,5.931880,8.196410,10.325900,12.396501,14.439100,15.241600,15.789900,16.331800,16.913200,17.502100,18.028700,18.329800,18.079399,17.688900,17.677000,18.462801,19.574499,20.176701,20.152000,20.190201,20.205000,20.284100,20.204201,19.988800,19.796501,19.623499,19.581800,19.412199,18.772499,17.315899,15.275200,12.783900,10.119100,8.040080,6.386360,4.481920,2.549590,0.265548,-1.868690,-4.204020,-6.260410,-8.114350,-9.924970,-12.012700,-13.615900,-15.190400,-16.375500,-17.875401,-19.615999,-21.081299,-22.272100,-23.672501,-25.170700,-26.991699,-28.318100,-29.623701,-31.001900,-32.208603,-35.395100,-32.216202,-30.411798,-30.037800,-29.609499,-28.451101,-27.323999,-25.838202,-24.433899,-22.865101,-21.286900,-19.603800,-17.652599,-15.890400,-14.138000,-12.677199,-10.648001,-8.592210,-6.989480,-6.256300,-5.896950,-5.699660,-5.553010,-5.364540,-5.218100,-5.052460,-4.859600,-4.639320,-4.364210,-4.133840,-3.850900,-3.582820,-3.606850,-3.885810,-4.255530,-4.366340,-4.511860,-4.686630,-5.185190,-5.357280,-5.507890,-5.380150,-5.296500,-5.040290,-4.536330,-3.310770,-1.292490,0.616939,2.117000,3.901330,5.862430,7.521620,9.975830,12.391200,14.896200,16.689100,18.595100,20.987600,22.327600,25.286299,26.343201,28.088799,29.957901,32.523102,34.930702,37.146900,39.679100,41.631699,43.869102,46.079502,48.668301,51.075298,53.717201,55.537899,57.777699,59.837902,61.613598,63.871803,65.957901,67.877296,69.917297,70.916702,71.423904,71.862503,72.098198,72.096100,72.178299,72.362801,72.599098,72.907997,73.136200,73.358795,72.922600,71.778198,70.545601,68.771301,66.440201,63.805401,61.452003,59.355698,57.502796,55.737701,54.222797,53.116802,52.306400,51.054798,49.762901,48.613598,47.475498,46.289501,44.407700,42.778500,41.242100,39.217701,37.170101,34.855701,32.799900,31.117399,29.335400,27.705400,25.916101,24.528601,23.473400,22.272100,21.473101,20.868200,20.857599,20.866798,20.557301,19.829201,18.622700,17.249300,16.295099,15.391899,14.736000,14.301999,13.852901,13.344300,12.855800,12.329700,11.794101,11.244000,10.581800,10.163401,9.970380,9.563220,9.060190,8.084280,6.811840,5.794710,4.227400,2.409060,0.213877,-2.113980,-4.372080,-6.738980,-9.640930,-12.175900,-14.656300,-16.908800,-19.259399,-21.612099,-24.049099,-26.761799,-28.637501,-30.309399,-31.259199,-32.021698,-32.602200,-33.144299,-33.686600,-34.050900,-34.557098,-35.143898,-35.665699,-36.307899,-36.793701,-36.828800,-36.917801,-37.179901,-37.530800,-37.882801,-38.160000,-38.380699,-38.676102,-38.895802,-39.275101,-40.069099,-40.708099,-41.043900,-41.208797,-41.648903,-42.083099,-42.700699,-43.382797,-44.273800,-44.826698,-45.078102,-45.391403,-45.692997,-46.015800,-46.353397,-46.728798,-47.120499,-47.510300,-47.937599,-48.348701,-48.719303,-49.159500,-49.557999,-50.077797,-50.536900,-51.037598,-51.533199,-52.057201,-52.573196,-53.042301,-53.765499,-55.230499,-57.024502,-59.034199,-61.242599,-63.066200,-64.308899,-64.936096,-65.513702,-65.794403,-66.028801,-66.203400,-65.969299,-65.748802,-65.444702,-65.099503,-64.681198,-64.037598,-62.700497,-60.987598,-58.975399,-57.303398,-58.838303,-58.811203,-56.992298,-58.744102,-60.044998,-61.550499,-62.897797,-63.240002,-63.313999,-63.274502,-63.143799,-63.000999,-62.852203,-62.505699,-62.201900,-61.849300,-61.200497,-59.883198,-59.012901,-58.287403,-57.407501,-56.312302,-54.827999,-52.879101,-51.019199,-49.444901,-48.021202,-46.405296,-44.684902,-43.073399,-41.822403,-41.375801,-40.986698,-40.830700,-40.747902,-40.663502,-40.310402,-39.765499,-39.197601,-38.726898,-38.306297,-37.869801,-37.319801,-36.810299,-36.439198,-36.054001,-35.849800,-35.557701,-35.410099,-35.372200,-35.363503,-35.335800,-35.311901,-35.107800,-34.601299,-32.725903,-30.380100,-28.182800,-25.947399,-23.953001,-21.510401,-19.023100,-16.847401,-14.401300,-12.009600,-9.905770,-7.641960,-5.914980,-4.211750,-2.687170,-1.113770,0.341279,2.184430,3.589730,4.549180,4.543290,4.543290
0.043307,0.012378,0.014186,0.378761,1.591330,2.937290,4.328610,5.596500,6.169200,6.073070,6.144550,7.035390,8.499420,10.050100,11.968700,14.145900,16.314301,18.679800,21.312300,23.602301,25.944199,28.207600,30.708302,33.006798,35.369900,37.804901,40.026600,42.475601,44.895096,47.283100,49.615097,51.093597,52.381802,53.191898,54.043301,54.823299,55.468800,56.135098,56.004398,55.486202,54.491100,53.361603,51.724503,49.641403,47.397301,45.100899,42.931400,40.787601,38.668201,36.443703,33.937199,31.422100,28.921799,26.517500,24.110601,21.637701,19.351601,16.968800,14.475500,12.188399,9.593860,7.109180,4.718130,2.231740,-0.180980,-2.722160,-5.128430,-7.529340,-9.890349,-11.820900,-13.555500,-15.709599,-18.090099,-20.428600,-22.899799,-25.156300,-27.578899,-29.993702,-32.418701,-34.856800,-37.229198,-39.613400,-42.049503,-44.534500,-46.809502,-49.284500,-51.772701,-54.232800,-56.641701,-58.946301,-60.837997,-61.566700,-62.021000,-62.319599,-62.309303,-62.377998,-62.526100,-62.643997,-63.018997,-63.983799,-65.983597,-67.988396,-69.670403,-71.280899,-72.813400,-74.431297,-76.211899,-77.942795,-79.529305,-80.872902,-81.739700,-81.817001,-80.841499,-79.385300,-77.896805,-75.916405,-74.115799,-72.420700,-71.127594,-69.653000,-68.101402,-66.551605,-65.098602,-63.805298,-63.179600,-63.154301,-63.257702,-63.130299,-63.231098,-63.080399,-62.819000,-62.489902,-62.179001,-62.055298,-62.317402,-62.480202,-63.135601,-63.849701,-64.596703,-65.267799,-65.803596,-66.280296,-66.349899,-66.403702,-66.280197,-66.103905,-65.904198,-65.821899,-65.503899,-65.278297,-65.089798,-64.789001,-64.245399,-64.345200,-65.219902,-65.038704,-64.866501,-64.949196,-65.180496,-65.412796,-65.805603,-66.007996,-66.275002,-66.512100,-66.856201,-66.746902,-66.616302,-65.600601,-64.144104,-62.758198,-61.487598,-59.737701,-57.490097,-55.119598,-52.654903,-50.157902,-47.770496,-45.344501,-42.913399,-40.469498,-37.962101,-35.434200,-33.096001,-30.614799,-28.258900,-25.770201,-23.300400,-20.929899,-18.735500,-16.910799,-15.423700,-13.641601,-11.760799,-10.063400,-7.778540,-5.477470,-3.075990,-0.633634,1.437990,2.705590,3.747050,4.701280,5.599970,5.962970,5.942170,5.913620,5.898260,6.027730,4.567490,4.242720,6.374280,6.419460,5.890770,5.884590,5.171660,4.650140,4.372400,4.048100,3.854370,3.537700,3.291690,2.958060,2.661270,2.198750,1.821060,1.389590,1.266390,0.956503,0.807965,0.596927,0.423575,0.408147,0.549722,1.388120,2.724980,4.669980,7.810740,10.012000,12.331200,13.695000,15.200300,17.711100,19.580999,20.694901,22.225000,24.058500,25.099699,25.672100,26.005199,26.296101,26.669899,27.013601,27.403702,27.658501,28.592100,30.034700,31.222700,32.164902,33.114201,34.115601,35.082600,35.966999,36.506100,36.813000,37.256500,37.253300,37.345901,37.524899,37.879101,38.164600,38.398102,38.553402,38.935101,39.288300,39.543999,39.438301,39.278603,39.217300,39.133400,39.162701,39.144299,39.082802,39.130001,39.077000,38.930401,39.026699,38.423702,36.256699,34.075100,31.913301,29.344700,26.962400,24.625500,22.373301,20.322701,17.874901,15.721701,13.243600,11.443101,9.752190,8.714170,8.164140,7.925780,7.363590,6.770010,6.089060,5.406010,4.844620,4.360500,3.890840,3.513440,3.094750,2.677950,2.223990,1.960070,1.602200,1.370430,0.797814,-0.737332,-2.838110,-5.095630,-7.150040,-9.053780,-11.167300,-13.097199,-15.423300,-18.045099,-19.538000,-21.927200,-24.245201,-26.781799,-29.080299,-31.335901,-33.544498,-35.637802,-37.732498,-39.933998,-42.068302,-44.112999,-45.754902,-47.571800,-49.130600,-50.217701,-51.074902,-52.103703,-53.490299,-55.242500,-57.626499,-59.792500,-62.233902,-64.614799,-67.066299,-69.388298,-71.838699,-74.160004,-76.738800,-78.969200,-81.245399,-83.703796,-86.190994,-88.724998,-91.184105,-93.474403,-95.930496,-98.247597,-100.595001,-103.050995,-105.501999,-107.917000,-109.957001,-112.498001,-114.337997,-115.850998,-116.612000,-116.922005,-115.900002,-114.370003,-112.405998,-110.425995,-108.065994,-105.684998,-103.540993,-101.050995,-98.617302,-96.793495,-94.334198,-92.039406,-91.358704,-92.223701,-93.091202,-94.125801,-95.558205,-96.220497,-94.336395,-95.391205,-95.365303,-93.462097,-91.665001,-90.420799,-87.942307,-85.422096,-82.672005,-80.319801,-77.963600,-75.775696,-72.985199,-70.302902,-67.950600,-65.603401,-63.590401,-61.292004,-59.022499,-56.988800,-55.508301,-54.248100,-54.124599,-54.071301,-54.024601,-53.868099,-53.658199,-53.377003,-53.113400,-52.204700,-51.158398,-50.212204,-49.070999,-47.658703,-45.999500,-44.624802,-42.585899,-40.640099,-38.954399,-37.046600,-34.511600,-32.113800,-29.628000,-27.063799,-25.297600,-23.638601,-21.891800,-20.135799,-18.063299,-15.875000,-14.026300,-11.957800,-10.559100,-8.409570,-7.707940,-7.394310,-6.946140,-6.531440,-6.233560,-6.350770,-6.516940,-6.787440,-6.897250,-6.571640,-5.627800,-4.572240,-3.540230,-2.661280,-1.918870,-1.443220,-1.268780,-1.240200,-1.059640,-1.108210,-1.090170,-1.090170
0.005325,-0.000270,0.020559,-0.000859,-0.019812,0.056699,0.069966,0.044187,0.050527,0.044467,0.057468,0.079271,0.146427,0.139324,0.070111,0.031161,-0.040248,-0.072445,-0.115104,-0.134092,-0.176629,-0.169838,-0.179519,-0.183640,-0.197847,-0.247813,-0.180092,-0.171391,-0.082613,-0.021958,-0.024886,-0.113102,-0.162890,-0.301440,-0.166811,-0.183333,-0.175013,-0.184904,-0.187915,-0.199601,-0.182982,-0.078523,-0.049902,0.008731,0.035563,0.087808,0.114073,0.152305,0.156978,0.190102,0.191438,0.192324,0.186596,0.163331,0.146446,0.166282,0.169214,0.191631,0.166062,0.149208,0.124955,0.128202,0.124329,0.043568,-0.026883,-0.046576,-0.015404,-0.053444,-0.033608,0.022729,0.015488,-0.006935,0.013175,0.057535,0.063363,0.047063,0.045439,0.010632,-0.000107,0.012369,0.003446,0.027667,0.038301,0.028997,0.066661,0.064104,0.040112,0.021675,0.004120,-0.020170,0.073237,0.041304,0.100644,0.073119,0.058071,-0.013631,-0.029947,-0.081470,-0.042176,-0.064717,-0.089472,-0.019753,-0.020458,-0.045891,-0.073221,-0.135897,-0.082107,-0.096484,-0.083429,-0.184718,-0.126070,-0.226079,-0.190048,-0.142467,-0.122046,-0.061843,-0.048408,-0.054325,-0.057732,-0.014132,-0.035203,-0.031539,-0.062061,-0.069326,-0.089070,-0.080903,-0.077343,0.009025,-0.040264,0.011067,0.019976,0.096247,0.091928,0.079249,0.000721,0.052998,0.027182,0.024698,0.015860,0.060867,0.003400,0.075094,0.090084,0.052190,0.096418,0.074290,0.029138,-0.000364,0.027987,0.020365,-0.011416,-0.001994,0.117650,0.134877,0.121889,0.012549,-0.011199,-0.029106,-0.020231,0.007868,0.006704,0.032970,0.057907,0.081466,0.142177,0.118883,0.116641,0.041478,0.090663,0.059406,0.031738,-0.012091,-0.037525,-0.022123,0.011642,0.001554,0.026075,0.008110,-0.040588,-0.009749,-0.005488,-0.014898,-0.012986,-0.021145,0.005941,0.035556,0.035052,0.040003,0.019931,0.058572,-0.012589,-0.001100,-0.029827,-0.022804,-0.017574,-0.036684,-0.012182,-0.028121,0.032111,-0.010631,-0.012662,0.055615,0.023592,0.056541,0.046985,0.067352,0.000559,0.021367,0.002171,-0.058005,0.054747,0.087071,0.057880,0.130376,0.083584,0.096517,0.161633,0.133916,0.078197,0.089051,0.060395,0.095786,0.056455,0.070277,0.050681,0.031336,-0.026504,0.022374,0.063174,0.077178,0.122065,0.157559,0.241876,0.184169,0.168838,0.168630,0.162293,0.211258,0.194997,0.203460,0.198986,0.205450,0.380406,0.453534,0.457597,0.971193,0.822423,0.646800,0.517326,0.480058,0.565338,0.429141,0.275385,0.101386,0.108327,0.069757,0.079053,0.098412,0.085351,0.064858,-0.006345,0.028833,0.005385,0.044056,0.003795,0.088650,0.097195,0.132237,0.096683,0.116590,0.037602,-0.007344,-0.023121,-0.035730,-0.074043,-0.128162,-0.139162,-0.161773,-0.180637,-0.191519,-0.185197,-0.189944,-0.205902,-0.251681,-0.238629,-0.273541,-0.307326,-0.201247,-0.199519,-0.178976,-0.164378,-0.192510,-0.180610,-0.156134,-0.086527,-0.057515,-0.003095,0.027507,0.049826,0.086690,0.133032,0.148663,0.118122,0.106850,0.084686,0.052522,0.075941,0.101496,0.065451,0.095256,0.057433,0.016088,0.054077,0.086651,0.038900,0.030287,0.059501,0.138186,0.136962,0.111821,0.055465,0.081003,0.010688,0.001095,0.035657,0.038007,0.073130,0.097386,0.170709,0.162578,0.169374,0.187734,0.194423,0.182431,0.156060,0.150319,0.149057,0.147481,0.153867,0.161532,0.116199,0.150014,0.156845,0.091436,0.098540,0.139354,0.149938,0.160135,0.250567,0.327289,0.358197,0.385506,0.373605,0.349083,0.357562,0.376371,0.372860,0.370796,0.385474,0.389732,0.385456,0.403808,0.414515,0.387768,0.367623,0.377520,0.395583,0.400835,0.405025,0.421050,0.432168,0.368598,0.354982,0.325195,0.278610,0.219546,0.197931,0.191841,0.149864,0.146249,0.106646,0.080837,0.094839,0.056423,0.086268,0.064848,0.066152,0.109631,0.151887,0.252999,0.331717,0.404840,0.364287,0.342027,0.396688,0.360311,0.292233,0.193641,0.177842,0.111516,0.121048,0.097478,0.107112,0.105081,0.096582,0.131270,0.111385,0.119918,0.159890,0.097947,0.153837,0.160939,0.158407,0.171784,0.177270,0.188040,0.154080,0.189014,0.162404,0.202946,0.156817,0.153035,0.117059,0.149456,0.166681,0.152916,0.159609,0.183801,0.172422,0.146423,0.137832,0.134125,0.165256,0.190505,0.196819,0.210515,0.181251,0.158673,0.138840,0.162752,0.119159,0.059518,0.100930,0.086952,0.111243,0.115279,0.106159,0.036866,0.023240,0.006434,0.009899,-0.018595,-0.003670,-0.023548,-0.036506,0.005510,-0.020552,-0.101211,-0.045413,-0.044897,-0.026634,0.008864,0.020700,-0.024339,0.013007,-0.001891,-0.007165,-0.003751,-0.003751
