0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467
0.000000,0.205457,0.179151,0.175034,0.224462,0.285860,0.405760,0.566761,0.741683,0.926123,1.105602,1.303316,1.503105,1.708585,1.915341,2.132485,2.372675,2.633970,2.908619,3.195797,3.499261,3.820070,4.154811,4.502026,4.863761,5.239797,5.627322,6.026371,6.434124,6.852067,7.280809,7.711400,8.129180,8.534069,8.922450,9.295197,9.652888,9.996493,10.330276,10.645780,10.941137,11.214303,11.466365,11.693205,11.892481,12.061811,12.200312,12.307366,12.381901,12.426348,12.443272,12.434532,12.400924,12.344591,12.268883,12.176699,12.071074,11.960517,11.850016,11.743124,11.643768,11.554380,11.483134,11.431355,11.400694,11.388797,11.382440,11.396994,11.434879,11.508929,11.605291,11.716531,11.845642,11.995128,12.164755,12.354445,12.562819,12.790430,13.037683,13.304077,13.589610,13.894643,14.218201,14.560539,14.920227,15.296348,15.689759,16.100986,16.529854,16.973177,17.430779,17.896389,18.357965,18.810703,19.256121,19.692335,20.122122,20.546318,20.965696,21.382830,21.803028,22.237804,22.686840,23.147394,23.618378,24.098370,24.587551,25.087240,25.596163,26.113392,26.635868,27.159540,27.676147,28.172792,28.646088,29.095749,29.517681,29.913691,30.286070,30.638536,30.969898,31.279428,31.567146,31.834614,32.082989,32.320885,32.553001,32.781834,33.008762,33.233540,33.454617,33.671864,33.885715,34.098202,34.312946,34.533775,34.760223,34.996094,35.241867,35.499611,35.765953,36.040390,36.320194,36.604340,36.894104,37.187111,37.481091,37.778130,38.079021,38.385757,38.695320,39.007957,39.323761,39.640362,39.976318,40.290337,40.586765,40.876369,41.160473,41.434948,41.700508,41.955345,42.200211,42.435135,42.660542,42.876492,43.079159,43.270000,43.443462,43.597870,43.731522,43.844917,43.937641,44.009304,44.061775,44.096043,44.112972,44.113205,44.097816,44.067875,44.024288,43.968323,43.901516,43.825653,43.742744,43.654995,43.567833,43.486107,43.412453,43.346420,43.287987,43.237240,43.197742,43.169865,43.152157,43.147720,43.157326,43.182247,43.221481,43.269749,43.319347,43.370670,43.423988,43.479946,43.536060,43.589214,43.641647,43.694752,43.750881,43.802586,43.856495,43.919811,43.984028,44.053307,44.122185,44.189449,44.258156,44.333099,44.414379,44.502064,44.598000,44.700356,44.810799,44.929699,45.059162,45.198704,45.350338,45.511013,45.682785,45.864681,46.055408,46.257820,46.471439,46.695599,46.932957,47.178955,47.431953,47.692001,47.958542,48.231632,48.511234,48.797539,49.091396,49.391876,49.694977,50.003006,50.312275,50.617046,50.915001,51.202408,51.475796,51.734261,51.979374,52.212948,52.436531,52.653885,52.869324,53.083702,53.297142,53.508385,53.717525,53.925346,54.131355,54.333752,54.528934,54.718433,54.901196,55.076080,55.243843,55.404564,55.559502,55.709610,55.854702,55.996059,56.133675,56.268024,56.398632,56.524353,56.646809,56.766651,56.885708,57.003880,57.120304,57.234383,57.344948,57.451603,57.556038,57.654228,57.736992,57.803688,57.854473,57.888184,57.905529,57.906845,57.892830,57.864048,57.819130,57.759857,57.687145,57.603065,57.508301,57.405140,57.297005,57.186005,57.070904,56.952850,56.834091,56.718102,56.608372,56.507793,56.419388,56.343769,56.281521,56.232395,56.196953,56.175671,56.168728,56.177135,56.197388,56.225773,56.258198,56.294945,56.336018,56.381100,56.430466,56.483238,56.541317,56.605972,56.676716,56.755142,56.840336,56.930779,57.026722,57.129498,57.239677,57.357159,57.481655,57.613449,57.753139,57.900219,58.054108,58.217220,58.387867,58.563042,58.741604,58.924515,59.113411,59.310535,59.518509,59.737431,59.966702,60.205257,60.453495,60.711136,60.978588,61.255577,61.542847,61.839565,62.145847,62.462242,62.788815,63.125599,63.472488,63.828979,64.195679,64.572113,64.958389,65.354729,65.761169,66.177551,66.602791,67.038666,67.484688,67.940331,68.403214,68.871895,69.339752,69.803032,70.258125,70.705025,71.142105,71.569214,71.986931,72.393433,72.788979,73.175415,73.551102,73.916512,74.275383,74.629257,74.977036,75.318291,75.655724,75.999794,76.336723,76.667656,77.003685,77.339203,77.675453,78.013321,78.346672,78.675140,78.998146,79.316551,79.630524,79.940559,80.245422,80.545563,80.841698,81.132988,81.417236,81.696541,81.971420,82.241608,82.506485,82.764603,83.014473,83.256653,83.492180,83.721741,83.944588,84.160530,84.370384,84.575432,84.778214,84.979210,85.179024,85.378586,85.577538,85.775429,85.971649,86.166527,86.360146,86.552788,86.744888,86.936592,87.128082,87.319901,87.512650,87.705849,87.899437,88.093796,88.289581,88.486847,88.685936,88.886620,89.088966,89.291534,89.488937,89.680176,89.865562,90.045151,90.219185,90.386108,90.545845,90.699196,90.845993,90.987259,91.124886,91.258591,91.389572,91.517853,91.643616,91.766350,91.885803,92.001221,92.113457,92.223381
0.000000,0.205457,0.179151,0.198329,0.207163,0.294630,0.358685,0.408066,0.448321,0.480217,0.496939,0.518065,0.541678,0.559186,0.577290,0.591548,0.602423,0.610599,0.622623,0.640207,0.652660,0.660722,0.664251,0.678089,0.696602,0.703034,0.708580,0.711374,0.716876,0.723980,0.733837,0.748369,0.768422,0.793956,0.823208,0.855885,0.892673,0.933192,0.977843,1.024975,1.074508,1.125568,1.178141,1.231135,1.283720,1.335509,1.386674,1.435246,1.478703,1.517801,1.553783,1.588056,1.621687,1.655202,1.688899,1.724151,1.760370,1.799367,1.839671,1.881297,1.924521,1.974174,2.025630,2.078233,2.131351,0.996519,0.986347,0.990148,0.984385,0.976225,0.973005,0.970125,0.966741,0.963089,0.959900,0.967596,0.976247,0.986174,0.997853,1.011368,1.026385,1.043836,1.063047,1.093759,1.126271,1.161235,1.198378,1.237970,1.280457,1.325298,1.372331,1.421180,1.470986,1.519867,1.569464,1.618972,1.670075,1.722798,1.776820,1.831531,1.886698,1.944282,2.003283,2.063905,2.126120,2.189409,2.254054,2.319911,2.386867,2.454433,2.522403,2.590782,2.659775,2.722672,2.784848,2.844975,2.901583,2.955579,3.006893,3.056074,3.102599,3.146422,3.186161,3.223896,3.260943,3.297997,3.327950,3.359187,3.386566,3.412899,3.434824,3.454590,3.477215,3.497661,3.518644,3.531143,3.553430,3.571213,3.592812,3.614265,3.632394,3.650936,3.669089,3.687372,3.705441,3.724037,3.741593,3.760502,3.783360,3.807507,3.828715,3.849349,3.871110,3.893485,3.930595,3.951842,3.966160,3.982378,4.001115,4.019525,4.041098,4.049980,4.083537,4.117798,4.059625,4.096873,4.086258,4.068433,4.092689,4.102162,4.112311,4.123067,4.133404,4.139301,4.137409,4.153547,4.178018,4.174046,4.164148,4.133930,4.115447,4.391327,4.462051,3.716489,3.482410,3.477602,3.478162,3.434993,3.394136,3.392009,3.420035,3.434759,2.261349,2.490887,2.498791,2.157153,2.125012,2.147887,2.153788,2.173644,2.173389,2.174513,2.173035,2.172106,2.165438,2.157966,2.164713,2.162198,2.156259,2.156590,2.161322,2.154455,2.150225,2.149240,2.151932,2.158735,2.169733,2.185818,2.206612,2.232186,2.262625,2.297171,2.336126,2.379243,2.426983,2.479013,2.535002,2.594301,2.657347,2.724263,2.794271,2.868110,2.945096,3.024623,3.106807,3.189474,3.272203,3.359013,3.445875,3.531854,3.614562,3.695119,3.777127,3.859954,3.943224,4.026642,4.110226,4.191967,4.271441,4.348393,4.421344,4.490143,4.555051,4.616578,4.675367,4.731933,4.787185,4.841256,4.894321,4.945952,4.996676,5.045967,5.094238,5.141262,5.186673,5.230669,5.272047,5.312559,5.351395,5.389021,5.424609,5.458924,5.491785,5.524570,5.556471,5.587689,5.618306,5.647942,5.676959,5.705513,5.733953,5.762111,5.789894,5.817139,5.843637,3.189595,3.195484,3.198625,3.196147,3.196277,3.198024,3.205592,3.169481,3.153292,3.151518,3.150098,3.136274,3.119018,3.107667,3.097756,3.411506,3.703643,3.668804,3.531430,3.256276,3.196343,3.152148,3.131810,3.105955,3.117563,3.113365,3.106336,3.097923,3.091481,3.085008,3.078640,3.072710,3.068539,3.065017,3.063882,3.063391,3.062775,3.062020,3.061784,3.061876,3.062021,3.062597,3.063306,3.065749,3.068390,3.071310,3.074568,3.078283,3.082440,3.087105,3.092196,3.097755,3.103698,3.110504,3.117778,3.125610,3.133835,3.142531,3.151325,3.160476,3.169857,3.179605,3.189912,3.200838,3.212602,3.225050,3.238169,3.252136,3.266970,3.282643,3.299173,3.316459,3.336187,3.356855,3.378310,3.402083,3.426741,3.452275,3.480315,3.509527,3.539855,3.571242,3.603621,3.637088,3.671551,3.707105,3.743598,3.780669,3.818312,3.856110,3.894068,3.931350,3.978942,4.013935,4.051413,4.086117,4.119290,4.150455,4.181052,4.210626,4.237205,4.262634,4.283253,4.307314,4.331719,4.355581,4.379567,4.404272,4.429112,4.452061,4.475392,4.498944,4.522598,4.545384,4.567931,4.588612,4.606807,4.625632,4.748033,4.764248,4.779009,4.792433,4.805480,4.817492,4.828484,4.838243,4.847045,4.855096,4.862604,4.869211,4.875013,4.879811,4.463853,4.475778,4.486471,4.497141,4.510647,4.520707,4.534527,4.544544,4.548481,4.552180,4.570175,4.575551,4.585112,4.584073,4.583405,4.587667,4.582316,4.581773,4.595585,4.607088,4.608332,4.610433,4.612107,4.611797,4.609303,4.608056,4.588191,4.585608,4.543454,4.552521,4.589884,4.589115,4.588701,4.616358,4.664828,4.863943,8.017118,8.006528,7.997063,7.988273,5.039572,3.932127,3.794601,3.753355,3.748218,3.740754,3.729674,3.721125,3.728939,3.727086,3.722798
0.000000,0.205457,0.179151,0.198329,0.207163,0.294630,0.358685,0.408066,0.448321,0.480217,0.496939,0.518065,0.541678,0.559186,0.577290,0.591548,0.602423,0.610599,0.622623,0.640207,0.652660,0.660722,0.664251,0.678089,0.696602,0.703034,0.708580,0.711374,0.716876,0.723980,0.733837,0.748369,0.768422,0.793956,0.823208,0.855885,0.892673,0.933192,0.977843,1.024975,1.074508,1.125568,1.178141,1.231135,1.283720,1.335509,1.386674,1.435246,1.478703,1.517801,1.553783,1.588056,1.621687,1.655202,1.688899,1.724151,1.760370,1.799367,1.839671,1.881297,1.924521,1.974174,2.025630,2.078233,2.131351,2.183742,2.224234,2.264148,2.306615,2.362119,2.423335,2.484793,2.547279,2.610998,2.676512,2.753619,2.833354,2.915653,3.001089,3.089505,3.180709,3.275507,3.373102,3.483078,3.595839,3.711852,3.830999,3.953548,4.079887,4.209041,4.340955,4.474459,4.607034,4.736581,4.864686,4.990357,5.115564,5.240444,5.364852,5.488374,5.611130,5.736642,5.863913,5.993125,6.124092,6.256115,6.389462,6.524339,6.660516,6.797628,6.934714,7.071707,7.207840,7.339157,7.465226,7.585957,7.700558,7.809555,7.913464,8.013092,8.107820,8.197617,8.282046,8.362111,8.436425,8.508926,8.579338,8.648387,8.716578,8.783351,8.847493,8.909053,8.968329,9.025704,9.082265,9.139535,9.196196,9.253938,9.312402,9.372172,9.432508,9.493746,9.555007,9.616382,9.677663,9.739202,9.799334,9.860555,9.925018,9.990504,10.053212,10.115245,10.178068,10.240821,10.317886,10.379427,10.433111,10.487787,10.544238,10.599557,10.654784,10.690439,10.723859,10.756572,10.788719,10.820070,10.847372,10.872139,10.895012,10.914201,10.930020,10.942671,10.951669,10.956490,10.956706,10.952605,10.943813,10.930532,10.913147,10.891912,10.866740,10.837908,10.805434,10.769996,10.732104,10.692375,10.651673,10.611162,10.572015,10.538025,10.506089,10.476604,10.452266,10.434805,10.420225,10.410409,10.404889,10.404759,10.409423,10.417072,10.426345,10.437211,10.448273,10.460814,10.474390,10.487894,10.502441,10.518494,10.536419,10.558840,10.586173,10.608776,10.631064,10.658265,10.682537,10.705563,10.727810,10.750594,10.773253,10.795078,10.817591,10.839395,10.860981,10.882420,10.904673,10.927865,10.953637,10.977587,11.001702,11.025023,11.047287,11.069548,11.092321,11.115777,11.140374,11.165807,11.192099,11.216626,11.241575,11.267066,11.294642,11.323823,11.352855,11.382236,11.411630,11.441732,11.471589,11.501231,11.530536,11.558504,11.585806,11.611979,11.637889,11.663508,11.688416,11.713072,11.737650,11.762613,11.788073,11.813835,11.839446,11.865834,11.892374,11.918914,11.944623,11.969897,11.995452,12.019423,12.042618,12.064893,12.087306,12.109581,12.131672,12.152755,12.173592,12.194189,12.214154,12.233663,12.252834,12.271674,12.290339,12.308902,12.327243,12.345478,12.363457,12.381104,12.398700,12.415662,12.430828,12.444100,12.455585,12.465204,12.473182,12.479437,12.484076,12.487041,12.488360,12.488165,12.486391,12.483276,12.477008,12.468329,12.458229,12.448513,12.438672,12.428470,12.418347,12.408291,12.399360,12.390300,12.380605,12.371589,12.363316,12.356285,12.350431,12.346154,12.342919,12.341830,12.343116,12.344415,12.346042,12.347891,12.350055,12.352898,12.355872,12.358372,12.361086,12.363706,12.369431,12.375715,12.382484,12.389586,12.397325,12.406008,12.415719,12.426394,12.438064,12.450656,12.464950,12.480426,12.497217,12.515390,12.534978,12.555190,12.576293,12.598069,12.620946,12.645308,12.671458,12.699866,12.730102,12.762010,12.795893,12.831716,12.869423,12.909071,12.950509,12.995551,13.042743,13.091828,13.144344,13.199202,13.256127,13.316760,13.379836,13.445292,13.513036,13.582974,13.655255,13.729775,13.806623,13.885714,13.966744,14.049839,14.134348,14.220147,14.305581,14.389525,14.471213,14.550517,14.627677,14.702269,14.774279,14.843644,14.910248,14.974425,15.035904,15.094836,15.152176,15.208535,15.264416,15.319860,15.375477,15.433061,15.488514,15.543231,15.598983,15.653265,15.706600,15.759498,15.810624,15.859882,15.907558,15.953064,15.996366,16.037323,16.076054,16.113548,16.149002,16.182295,16.212862,16.241209,16.267542,16.292011,16.313618,16.333162,16.350351,16.365486,16.378803,16.390471,16.400330,16.408232,16.414186,16.418468,16.422146,16.424864,16.427197,16.428797,16.430115,16.430424,16.430216,16.429251,16.427958,16.426588,16.425682,16.424948,16.424721,16.425571,16.426386,16.427969,16.430187,16.433729,16.438992,16.446100,16.454582,16.465017,16.476171,16.489010,16.501286,16.512384,16.522470,16.531960,16.540833,16.548941,16.556316,16.562370,16.568043,16.574194,16.582018,16.592144,16.603455,16.616108,16.629704,16.644133,16.659115,16.674686,16.690598,16.707310
0.000000,0.205388,0.179116,0.198212,0.207024,0.294401,0.358140,0.407130,0.447124,0.478691,0.494810,0.515376,0.538495,0.555543,0.573258,0.587572,0.598507,0.606805,0.619002,0.636762,0.649329,0.657235,0.660064,0.672925,0.690257,0.693753,0.694474,0.689477,0.683736,0.677955,0.672787,0.670233,0.670369,0.675287,0.681420,0.689821,0.699516,0.711442,0.726032,0.741406,0.758406,0.776567,0.796702,0.817465,0.840994,0.865956,0.894178,0.923823,0.950721,0.975770,0.999309,1.021719,1.044127,1.067297,1.091420,1.118106,1.147042,1.179775,1.214332,1.250281,1.288450,1.334637,1.383014,1.432580,1.482310,0.796453,0.800725,0.808941,0.805442,0.799167,0.797905,0.796706,0.794461,0.791330,0.788429,0.797122,0.806341,0.816408,0.827666,0.840264,0.853914,0.869656,0.886754,0.915930,0.946218,0.978679,1.012846,1.048978,1.087486,1.127486,1.168668,1.211044,1.253635,1.294672,1.335437,1.375252,1.415735,1.457109,1.498975,1.540854,1.582153,1.625098,1.669137,1.714130,1.759852,1.805786,1.852342,1.900003,1.948321,1.997169,2.045431,2.094011,2.142551,2.193421,2.239109,2.282382,2.322958,2.362125,2.399328,2.435347,2.469620,2.502037,2.530714,2.558314,2.587485,2.617628,2.640518,2.665824,2.688835,2.709655,2.728811,2.744236,2.765798,2.782720,2.801475,2.809390,2.835756,2.852756,2.873900,2.895220,2.913609,2.932564,2.951374,2.970624,2.989914,3.010243,3.029653,3.050681,3.075932,3.102695,3.126483,3.149701,3.174186,3.199591,3.240041,3.264009,3.280578,3.299100,3.320156,3.340793,3.364304,3.375748,3.412853,3.451261,3.386080,3.423280,3.416300,3.401825,3.416820,3.427815,3.437872,3.448027,3.458244,3.461660,3.459764,3.485572,3.519355,3.518501,3.512407,3.476678,3.466465,3.798214,3.890858,3.011196,2.720883,2.718056,2.729695,2.678908,2.645161,2.648140,2.721678,2.734086,0.800756,1.543033,1.439515,0.693096,0.586010,0.591235,0.619996,0.670734,0.690771,0.719644,0.735391,0.746259,0.748096,0.747444,0.766624,0.772577,0.773244,0.780172,0.791404,0.790956,0.793125,0.798482,0.807479,0.820526,0.837715,0.859937,0.886808,0.918396,0.954788,0.995227,1.040019,1.088908,1.142357,1.200029,1.261588,1.326386,1.394869,1.467159,1.542472,1.621548,1.703705,1.788343,1.875536,1.963127,2.050686,2.142236,2.233746,2.324269,2.411388,2.496226,2.582426,2.669433,2.756848,2.844320,2.932105,3.017958,3.101398,3.182233,3.259042,3.331707,3.400371,3.465527,3.527817,3.587811,3.646393,3.703717,3.759948,3.814662,3.868365,3.920520,3.971581,4.021319,4.069401,4.116023,4.159990,4.203122,4.244542,4.284631,4.322605,4.359180,4.394222,4.429224,4.463307,4.496682,4.529414,4.561155,4.592267,4.622882,4.653365,4.683556,4.713346,4.742588,4.771049,2.152526,2.166565,2.175499,2.177139,2.181940,2.189548,2.205388,2.161060,2.144010,2.147366,2.151213,2.137185,2.117824,2.108042,2.099942,2.465546,2.804849,2.768397,2.586098,2.277982,2.203553,2.153625,2.134395,2.109776,2.126545,2.125742,2.121674,2.116217,2.112738,2.109091,2.105234,2.101597,2.099791,2.098609,2.099921,2.101787,2.103343,2.104570,2.106185,2.108003,2.109709,2.111630,2.113458,2.117051,2.120553,2.124080,2.127667,2.131482,2.135458,2.139659,2.143980,2.148512,2.153108,2.158366,2.163770,2.169576,2.175443,2.181569,2.187626,2.193906,2.200275,2.206800,2.213561,2.220464,2.227904,2.235722,2.243742,2.252213,2.261080,2.270281,2.279814,2.289544,2.301963,2.314846,2.327973,2.343507,2.359237,2.375363,2.394138,2.413569,2.433637,2.454336,2.475548,2.497352,2.519697,2.542722,2.566230,2.590024,2.614386,2.639069,2.664287,2.689448,2.725462,2.749595,2.776193,2.800906,2.825005,2.847719,2.870023,2.891008,2.910442,2.929175,2.943479,2.962719,2.981770,2.999554,3.016704,3.034122,3.051430,3.068630,3.085148,3.102056,3.119346,3.136012,3.152894,3.168090,3.181216,3.195502,3.330130,3.342162,3.352965,3.362778,3.372768,3.382041,3.390633,3.398031,3.404855,3.411220,3.417328,3.422666,3.427222,3.430457,2.952104,2.965862,2.975783,2.985211,2.997350,3.006676,3.017669,3.025932,3.021824,3.031146,3.043324,3.045622,3.051994,3.050390,3.048048,3.054756,3.049685,3.050893,3.065436,3.072461,3.076509,3.082819,3.091599,3.093775,3.088126,3.088490,3.071835,3.069351,3.026560,3.030318,3.060009,3.063015,3.063679,3.091685,3.163452,3.472363,7.215879,7.206970,7.199215,7.192148,3.832236,1.869934,1.745867,1.730211,1.722913,1.718962,1.718471,1.718905,1.726298,1.730285,1.734284
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
