Class; Value; Class start; Class end;
457;197;-221.233127632669;-217.904645197293;
458;191;-217.904645197293;-214.576162761917;
459;163;-214.576162761917;-211.247680326541;
460;189;-211.247680326541;-207.919197891165;
461;230;-207.919197891165;-204.590715455789;
462;369;-204.590715455789;-201.262233020413;
463;227;-201.262233020413;-197.933750585037;
464;303;-197.933750585037;-194.605268149662;
465;308;-194.605268149662;-191.276785714286;
466;313;-191.276785714286;-187.948303278910;
467;344;-187.948303278910;-184.619820843534;
468;368;-184.619820843534;-181.291338408158;
469;625;-181.291338408158;-177.962855972782;
470;364;-177.962855972782;-174.634373537406;
471;355;-174.634373537406;-171.305891102031;
472;376;-171.305891102031;-167.977408666655;
473;399;-167.977408666655;-164.648926231279;
474;393;-164.648926231279;-161.320443795903;
475;470;-161.320443795903;-157.991961360527;
476;563;-157.991961360527;-154.663478925151;
477;533;-154.663478925151;-151.334996489775;
478;740;-151.334996489775;-148.006514054400;
479;699;-148.006514054400;-144.678031619024;
480;633;-144.678031619024;-141.349549183648;
481;690;-141.349549183648;-138.021066748272;
482;922;-138.021066748272;-134.692584312896;
483;881;-134.692584312896;-131.364101877520;
484;1476;-131.364101877520;-128.035619442144;
485;1957;-128.035619442144;-124.707137006768;
486;1086;-124.707137006769;-121.378654571393;
487;1035;-121.378654571393;-118.050172136017;
488;1112;-118.050172136017;-114.721689700641;
489;1169;-114.721689700641;-111.393207265265;
490;1285;-111.393207265265;-108.064724829889;
491;1404;-108.064724829889;-104.736242394513;
492;1574;-104.736242394513;-101.407759959137;
493;1720;-101.407759959137;-98.079277523762;
494;2028;-98.079277523762;-94.750795088386;
495;2919;-94.750795088386;-91.422312653010;
496;4747;-91.422312653010;-88.093830217634;
497;3052;-88.093830217634;-84.765347782258;
498;3051;-84.765347782258;-81.436865346882;
499;3821;-81.436865346882;-78.108382911506;
500;3810;-78.108382911506;-74.779900476131;
501;4905;-74.779900476130;-71.451418040755;
502;3865;-71.451418040755;-68.122935605379;
503;4070;-68.122935605379;-64.794453170003;
504;6981;-64.794453170003;-61.465970734627;
505;5313;-61.465970734627;-58.137488299251;
506;5430;-58.137488299251;-54.809005863875;
507;5654;-54.809005863875;-51.480523428500;
508;5584;-51.480523428500;-48.152040993124;
509;7400;-48.152040993124;-44.823558557748;
510;7371;-44.823558557748;-41.495076122372;
511;7962;-41.495076122372;-38.166593686996;
512;8436;-38.166593686996;-34.838111251620;
513;9362;-34.838111251620;-31.509628816244;
514;10664;-31.509628816244;-28.181146380868;
515;12662;-28.181146380868;-24.852663945492;
516;14976;-24.852663945493;-21.524181510117;
517;18361;-21.524181510117;-18.195699074741;
518;22404;-18.195699074741;-14.867216639365;
519;27998;-14.867216639365;-11.538734203989;
520;36010;-11.538734203989;-8.210251768613;
521;48269;-8.210251768613;-4.881769333237;
522;68358;-4.881769333237;-1.553286897861;
523;320482;-1.553286897861;1.775195537514;
524;66117;1.775195537514;5.103677972890;
525;49014;5.103677972890;8.432160408266;
526;37983;8.432160408266;11.760642843642;
527;30068;11.760642843642;15.089125279018;
528;23918;15.089125279018;18.417607714394;
529;19451;18.417607714394;21.746090149769;
530;16047;21.746090149770;25.074572585145;
531;13267;25.074572585145;28.403055020521;
532;11075;28.403055020521;31.731537455897;
533;9896;31.731537455897;35.060019891273;
534;8605;35.060019891273;38.388502326649;
535;7848;38.388502326649;41.716984762025;
536;7399;41.716984762025;45.045467197401;
537;8126;45.045467197401;48.373949632776;
538;6837;48.373949632776;51.702432068152;
539;6402;51.702432068152;55.030914503528;
540;6248;55.030914503528;58.359396938904;
541;6144;58.359396938904;61.687879374280;
542;8684;61.687879374280;65.016361809656;
543;6822;65.016361809656;68.344844245032;
544;7255;68.344844245032;71.673326680408;
545;8427;71.673326680407;75.001809115783;
546;6359;75.001809115783;78.330291551159;
547;6502;78.330291551159;81.658773986535;
548;5303;81.658773986535;84.987256421911;
549;5363;84.987256421911;88.315738857287;
550;9055;88.315738857287;91.644221292663;
551;5411;91.644221292663;94.972703728039;
552;4196;94.972703728039;98.301186163414;
553;3305;98.301186163415;101.629668598790;
554;2942;101.629668598790;104.958151034166;
555;2630;104.958151034166;108.286633469542;
556;2187;108.286633469542;111.615115904918;
557;2038;111.615115904918;114.943598340294;
558;1896;114.943598340294;118.272080775670;
559;1753;118.272080775670;121.600563211045;
560;1938;121.600563211045;124.929045646421;
561;3256;124.929045646421;128.257528081797;
562;2234;128.257528081797;131.586010517173;
563;1768;131.586010517173;134.914492952549;
564;1625;134.914492952549;138.242975387925;
565;1286;138.242975387925;141.571457823301;
566;1169;141.571457823301;144.899940258676;
567;1227;144.899940258676;148.228422694052;
568;1513;148.228422694052;151.556905129428;
569;977;151.556905129428;154.885387564804;
570;1006;154.885387564804;158.213870000180;
571;835;158.213870000180;161.542352435556;
572;693;161.542352435556;164.870834870932;
573;593;164.870834870932;168.199317306308;
574;578;168.199317306308;171.527799741684;
575;589;171.527799741683;174.856282177059;
576;622;174.856282177059;178.184764612435;
577;1040;178.184764612435;181.513247047811;
578;596;181.513247047811;184.841729483187;
579;519;184.841729483187;188.170211918563;
580;384;188.170211918563;191.498694353939;
581;448;191.498694353939;194.827176789314;
582;390;194.827176789315;198.155659224690;
583;380;198.155659224690;201.484141660066;
584;528;201.484141660066;204.812624095442;
585;342;204.812624095442;208.141106530818;
586;296;208.141106530818;211.469588966194;
587;262;211.469588966194;214.798071401570;
588;294;214.798071401570;218.126553836945;
589;261;218.126553836946;221.455036272321;
590;329;221.455036272321;224.783518707697;
591;229;224.783518707697;228.112001143073;
592;224;228.112001143073;231.440483578449;
593;196;231.440483578449;234.768966013825;
594;165;234.768966013825;238.097448449201;
595;306;238.097448449201;241.425930884577;
596;195;241.425930884576;244.754413319952;
597;155;244.754413319952;248.082895755328;
598;119;248.082895755328;251.411378190704;
599;137;251.411378190704;254.739860626080;
600;200;254.739860626080;258.068343061456;
601;142;258.068343061456;261.396825496832;
602;115;261.396825496832;264.725307932208;
603;112;264.725307932208;268.053790367584;
604;98;268.053790367583;271.382272802959;
605;192;271.382272802959;274.710755238335;
606;80;274.710755238335;278.039237673711;
607;88;278.039237673711;281.367720109087;
608;78;281.367720109087;284.696202544463;
609;131;284.696202544463;288.024684979839;
610;68;288.024684979839;291.353167415215;
611;41;291.353167415215;294.681649850590;
612;49;294.681649850590;298.010132285966;
613;110;298.010132285966;301.338614721342;
614;60;301.338614721342;304.667097156718;
615;39;304.667097156718;307.995579592094;
616;54;307.995579592094;311.324062027470;
617;72;311.324062027470;314.652544462845;
618;51;314.652544462846;317.981026898221;
619;62;317.981026898221;321.309509333597;
620;69;321.309509333597;324.637991768973;
621;92;324.637991768973;327.966474204349;
622;32;327.966474204349;331.294956639725;
623;37;331.294956639725;334.623439075101;
624;21;334.623439075101;337.951921510476;
625;21;337.951921510476;341.280403945852;
626;30;341.280403945852;344.608886381228;
627;32;344.608886381228;347.937368816604;
628;61;347.937368816604;351.265851251980;
629;39;351.265851251980;354.594333687356;
630;27;354.594333687356;357.922816122732;
631;20;357.922816122732;361.251298558108;
632;57;361.251298558107;364.579780993483;
633;20;364.579780993483;367.908263428859;
634;29;367.908263428859;371.236745864235;
635;40;371.236745864235;374.565228299611;
636;20;374.565228299611;377.893710734987;
637;19;377.893710734987;381.222193170363;
638;58;381.222193170363;384.550675605739;
639;13;384.550675605739;387.879158041115;
640;14;387.879158041114;391.207640476490;
641;37;391.207640476490;394.536122911866;
642;15;394.536122911866;397.864605347242;
643;21;397.864605347242;401.193087782618;
644;15;401.193087782618;404.521570217994;
645;32;404.521570217994;407.850052653370;
646;11;407.850052653370;411.178535088746;
647;7;411.178535088746;414.507017524122;
648;14;414.507017524122;417.835499959498;
649;16;417.835499959497;421.163982394873;
650;10;421.163982394873;424.492464830249;
651;11;424.492464830249;427.820947265625;
652;12;427.820947265625;431.149429701001;
